ptprf,ctnna1,znf207,psmd4,dctn2,acta2,atp6v1f,gnpat,vwf,plod3,polr2g,gmfb,nol7,fam20b,ap3b1,hsph1,tfrc,parp1,dap3,thy1,kpnb1,lsm2,hgs,creb3l2,cap2,sae1,c8orf33,parp12,ptcd1,lage3,slc41a3,chst4,plvap
6.737,6.14,6.565,8.269,7.492,7.442,7.526,8.042,4.652,7.294,6.335,4.138,7.635,5.051,4.275,6.835,7.555,5.797,7.368,3.766,8.094,4.673,6.802,6.975,3.687,5.095,4.994,6.116,5.491,5.584,4.956,5.138,4.213
6.976,7.918,7.856,9.899,8.309,8.837,8.903,9.792,5.285,9.449,7.154,6.498,8.845,7.156,4.495,9.645,8.054,7.761,8.367,5.232,8.424,5.383,7.91,8.931,7.061,7.519,5.33,8.815,5.984,5.582,5.432,4.116,6.082
6.874,6.579,7.122,7.983,7.735,6.989,7.497,8.435,4.35,7.285,7.128,4.213,8.11,5.482,4.03,7.546,7.018,5.952,7.552,3.826,7.91,4.919,6.594,7.131,4.412,6.009,4.896,5.713,5.826,5.675,5.146,5.086,4.598
7.884,6.446,7.871,9.295,8.914,8.829,8.53,7.205,6.23,8.037,7.003,4.462,8.652,6.953,5.223,7.899,8.927,6.026,8.119,4.468,9.536,6.113,8.694,8.322,4.699,8.39,5.983,7.248,5.653,7.671,5.043,3.696,6.581
6.246,6.802,6.775,8.001,8.445,9.373,7.726,8.668,7.148,8.195,6.532,3.83,7.376,4.72,4.024,6.489,8.146,5.409,7.288,4.099,7.161,5.499,6.508,6.894,4.518,5.545,4.807,6.155,5.15,4.828,5.438,7.629,6.346
6.283,6.954,7.62,8.167,7.827,9.002,7.902,8.244,5.445,7.21,6.834,4.678,8.421,5.247,4.197,7.73,7.311,5.48,7.604,4.335,8.214,4.928,6.535,7.35,4.399,5.951,5.067,5.766,5.554,5.484,4.988,6.75,5.275
5.975,5.713,5.082,7.462,8.05,6.017,7.185,8.05,3.879,7.153,6.504,3.507,7.033,4.649,3.954,7.936,8.301,5.433,7.681,4.049,4.306,3.701,5.211,7.157,5.752,5.074,5.338,5.1,5.398,5.549,5.944,3.879,4.495
6.469,7.721,8.344,9.71,8.582,9.141,8.63,9.829,4.675,8.152,7.365,6.591,9.811,7.145,5.24,9.708,9.363,7.686,9.161,5.256,8.597,6.207,7.677,8.198,6.513,7.601,6.112,6.812,5.856,5.53,5.46,3.695,6.632
7.359,6.772,6.549,9.992,8.174,8.394,8.239,9.254,7.761,7.84,7.034,4.816,8.738,5.117,5.229,7.661,7.856,6.52,8.358,5.148,9.029,4.324,7.08,7.902,6.645,6.794,5.192,8.653,6.711,6.729,4.999,4.146,5.955
5.139,7.396,8.044,8.444,9.039,13.106,10.029,8.262,6.619,7.126,7.764,5.073,8.492,6.225,4.733,8.735,11.139,6.189,7.73,3.97,8.941,5.332,7.399,6.797,9.375,8.447,6.144,4.987,5.693,6.68,7.364,3.659,6.92
6.928,6.425,6.77,8.241,8.108,7.673,7.707,7.98,4.958,7.035,6.864,4.316,7.977,5.327,4.229,6.944,6.894,5.91,7.624,3.793,7.649,5.082,6.201,6.788,3.937,6.19,5.385,6.195,5.32,5.275,5.331,5.838,3.983
6.852,7.17,7.579,8.195,7.76,8.563,7.733,8.192,5.469,6.968,7.023,4.862,8.409,5.338,4.475,7.423,7.175,6.416,7.797,4.188,8.395,5.795,6.397,7.069,4.572,6.633,5.165,6.546,5.155,5.024,4.697,4.809,4.388
6.802,6.369,6.48,8.252,7.877,8.75,7.508,8.219,4.906,7.182,6.072,3.821,7.692,5.325,4.112,7.629,8.344,5.817,7.489,3.71,7.996,4.958,7.206,6.439,3.787,5.436,4.767,6.341,5.076,5.36,5.103,4.862,4.569
6.902,6.561,7.112,8.069,8.028,9.542,7.735,8.092,4.832,7.416,6.72,4.37,8.554,5.981,4.863,7.264,7.637,5.76,7.601,4.717,8.74,5.126,6.665,7.403,4.734,6.193,5.433,5.936,5.158,5.498,5.161,5.27,4.925
