experiment,classifier,n_control,class_imbalance,alpha1,alpha2,method,auc_mean,mean_accuracy,auc_sd,hyp,expGanMulti
sim,svm,40,0.5,1,1,ExpandGAN,0.5000332270069112,0.35473304473304473,0.0003306045444931601,"SVC(C=5, gamma=0.1)",0.5
sim,svm,40,0.5,1,1,ExpandGAN,0.5001772107035265,0.3488023088023088,0.0010236630178027766,"SVC(C=1, gamma=0.1)",0.75
sim,svm,40,0.5,1,1,ExpandGAN,0.5001993620414673,0.3610678210678211,0.0005042700845758154,"SVC(C=5, gamma=0.1)",1.0
sim,histgradboost,80,0.5,0,0,ExpandGAN,0.7942643649610863,0.772063492063492,0.04055557522097748,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=10)",0.25
sim,histgradboost,80,0.5,0,0,GAN,0.7773552682418085,0.7379220779220779,0.022024049868634044,HistGradientBoostingClassifier(min_samples_leaf=10),
sim,histgradboost,80,0.5,0,0,SMOTE,0.7347925617986014,0.7560894660894661,0.012939695498120721,HistGradientBoostingClassifier(min_samples_leaf=50),
sim,histgradboost,80,0.5,0,0,RO,0.780302485597999,0.7985569985569986,0.01886213470849702,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=50)",
sim,histgradboost,80,0.5,0,0,ExpandGAN,0.7739483198391741,0.7556998556998558,0.0515291478640795,HistGradientBoostingClassifier(min_samples_leaf=10),0.5
sim,histgradboost,80,0.5,0,0,ExpandGAN,0.7895989663677325,0.7749494949494949,0.04117060294853815,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=10)",0.75
sim,histgradboost,80,0.5,0,0,ExpandGAN,0.7483377418127202,0.7303318903318904,0.06533909808756845,"HistGradientBoostingClassifier(learning_rate=0.01, min_samples_leaf=25)",1.0
